,Clone_ID
0,SIDM00078_clone_0
1,SIDM00078_clone_1
2,SIDM00078_clone_2
3,SIDM00078_clone_3
4,SIDM00078_clone_4
5,SIDM00080_clone_0
6,SIDM00080_clone_1
7,SIDM00080_clone_2
8,SIDM00082_clone_0
9,SIDM00082_clone_1
10,SIDM00088_clone_0
11,SIDM00088_clone_1
12,SIDM00097_clone_0
13,SIDM00097_clone_1
14,SIDM00108_clone_0
15,SIDM00108_clone_1
16,SIDM00116_clone_0
17,SIDM00116_clone_1
18,SIDM00119_clone_0
19,SIDM00119_clone_1
20,SIDM00122_clone_0
21,SIDM00122_clone_1
22,SIDM00128_clone_0
23,SIDM00128_clone_1
24,SIDM00131_clone_0
25,SIDM00131_clone_1
26,SIDM00131_clone_2
27,SIDM00139_clone_0
28,SIDM00139_clone_1
29,SIDM00148_clone_0
30,SIDM00148_clone_1
31,SIDM00148_clone_2
32,SIDM00213_clone_0
33,SIDM00213_clone_1
34,SIDM00235_clone_0
35,SIDM00235_clone_1
36,SIDM00235_clone_2
37,SIDM00239_clone_0
38,SIDM00239_clone_1
39,SIDM00239_clone_2
40,SIDM00247_clone_0
41,SIDM00247_clone_1
42,SIDM00305_clone_0
43,SIDM00305_clone_1
44,SIDM00305_clone_2
45,SIDM00305_clone_3
46,SIDM00306_clone_0
47,SIDM00306_clone_1
48,SIDM00317_clone_0
49,SIDM00317_clone_1
50,SIDM00317_clone_2
51,SIDM00317_clone_3
52,SIDM00317_clone_4
53,SIDM00335_clone_0
54,SIDM00335_clone_1
55,SIDM00335_clone_2
56,SIDM00359_clone_0
57,SIDM00359_clone_1
58,SIDM00369_clone_0
59,SIDM00369_clone_1
60,SIDM00392_clone_0
61,SIDM00392_clone_1
62,SIDM00395_clone_0
63,SIDM00395_clone_1
64,SIDM00425_clone_0
65,SIDM00425_clone_1
66,SIDM00425_clone_2
67,SIDM00425_clone_3
68,SIDM00425_clone_4
69,SIDM00425_clone_5
70,SIDM00481_clone_0
71,SIDM00481_clone_1
72,SIDM00481_clone_2
73,SIDM00481_clone_3
74,SIDM00486_clone_0
75,SIDM00486_clone_1
76,SIDM00487_clone_0
77,SIDM00487_clone_1
78,SIDM00494_clone_0
79,SIDM00494_clone_1
80,SIDM00494_clone_2
81,SIDM00528_clone_0
82,SIDM00528_clone_1
83,SIDM00533_clone_0
84,SIDM00533_clone_1
85,SIDM00533_clone_2
86,SIDM00587_clone_0
87,SIDM00587_clone_1
88,SIDM00587_clone_2
89,SIDM00587_clone_3
90,SIDM00597_clone_0
91,SIDM00597_clone_1
92,SIDM00615_clone_0
93,SIDM00615_clone_1
94,SIDM00629_clone_0
95,SIDM00629_clone_1
96,SIDM00640_clone_0
97,SIDM00640_clone_1
98,SIDM00649_clone_0
99,SIDM00649_clone_1
100,SIDM00654_clone_0
101,SIDM00654_clone_1
102,SIDM00663_clone_0
103,SIDM00663_clone_1
104,SIDM00672_clone_0
105,SIDM00672_clone_1
106,SIDM00672_clone_2
107,SIDM00672_clone_3
108,SIDM00681_clone_0
109,SIDM00681_clone_1
110,SIDM00683_clone_0
111,SIDM00683_clone_1
112,SIDM00683_clone_2
113,SIDM00690_clone_0
114,SIDM00690_clone_1
115,SIDM00708_clone_0
116,SIDM00708_clone_1
117,SIDM00716_clone_0
118,SIDM00716_clone_1
119,SIDM00716_clone_2
120,SIDM00716_clone_3
121,SIDM00718_clone_0
122,SIDM00718_clone_1
123,SIDM00726_clone_0
124,SIDM00726_clone_1
125,SIDM00729_clone_0
126,SIDM00729_clone_1
127,SIDM00750_clone_0
128,SIDM00750_clone_1
129,SIDM00750_clone_2
130,SIDM00795_clone_0
131,SIDM00795_clone_1
132,SIDM00798_clone_0
133,SIDM00798_clone_1
134,SIDM00831_clone_0
135,SIDM00831_clone_1
136,SIDM00881_clone_0
137,SIDM00881_clone_1
138,SIDM00882_clone_0
139,SIDM00882_clone_1
140,SIDM00890_clone_0
141,SIDM00890_clone_1
142,SIDM00919_clone_0
143,SIDM00919_clone_1
144,SIDM00920_clone_0
145,SIDM00920_clone_1
146,SIDM00920_clone_2
147,SIDM00921_clone_0
148,SIDM00921_clone_1
149,SIDM00945_clone_0
150,SIDM00945_clone_1
151,SIDM00947_clone_0
152,SIDM00947_clone_1
153,SIDM00950_clone_0
154,SIDM00950_clone_1
155,SIDM00963_clone_0
156,SIDM00963_clone_1
157,SIDM00980_clone_0
158,SIDM00980_clone_1
159,SIDM00988_clone_0
160,SIDM00988_clone_1
161,SIDM00997_clone_0
162,SIDM00997_clone_1
163,SIDM01002_clone_0
164,SIDM01002_clone_1
165,SIDM01002_clone_2
166,SIDM01070_clone_0
167,SIDM01070_clone_1
168,SIDM01080_clone_0
169,SIDM01080_clone_1
170,SIDM01082_clone_0
171,SIDM01082_clone_1
172,SIDM01085_clone_0
173,SIDM01085_clone_1
174,SIDM01085_clone_2
175,SIDM01105_clone_0
176,SIDM01105_clone_1
177,SIDM01119_clone_0
178,SIDM01119_clone_1
179,SIDM01155_clone_0
180,SIDM01155_clone_1
181,SIDM01156_clone_0
182,SIDM01156_clone_1
183,SIDM01156_clone_2
184,SIDM01156_clone_3
185,SIDM01169_clone_0
186,SIDM01169_clone_1
187,SIDM01169_clone_2
188,SIDM01188_clone_0
189,SIDM01188_clone_1
190,SIDM01190_clone_0
191,SIDM01190_clone_1
